genres,original_language,production_countries,release_date,runtime,title,production_companies_name,year,période
"Mystery, Thriller, Crime",en,"FR, IE, ES, US",2023-02-15,109,Marlowe,"Parallel Films, H2L Media Group, Nickel City Pictures, StoryBoard Media, Davis Films, Aperture Media Partners, Elipsis Capital, Fís Éireann/Screen Ireland, Jeff Rice Films, The Foley Lab, Briarcliff Entertainment",2023,>2010
"Comedy, Drama",en,"DE, US",1999-04-23,124,Pushing Tin,"Taurus Film, 3 Miles Apart Productions Ltd., Dogstar Films, Fox 2000 Pictures, Regency Enterprises, The Linson Company",1999,1990-2000
"Thriller, Drama, Horror",en,CA,2015-03-20,92,Backcountry,Fella Films,2015,>2010
"Drama, Comedy, Romance",en,US,2000-03-31,94,Whatever It Takes,"Columbia Pictures, Phoenix Pictures",2000,2000-2010
"Action, Thriller",en,US,1995-07-13,100,Under Siege 2: Dark Territory,"Regency Enterprises, Seagal/Nasso Productions, Cutting Edge Films, Warner Bros. Pictures, JVC",1995,1990-2000
"Family, Comedy, Adventure",en,US,2002-02-08,88,Big Fat Liar,Tollin/Robbins Productions,2002,2000-2010
"Horror, Thriller",en,US,2018-10-25,89,He's Out There,"Unbroken Pictures, Screen Gems, Sony Pictures",2018,>2010
"Comedy, Drama",fr,FR,2019-02-27,90,New Biz in the Hood,"Quad Films, Kissfilms, Ten Films, TF1 Studio, TF1 Films Production, 14ème Art Production, Panache Productions, La Compagnie Cinématographique",2019,>2010
"Romance, Drama",pl,PL,2022-04-27,111,365 Days: This Day,"Ekipa Sp. z o.o., Future Space, Next Film, TVN",2022,>2010
Thriller,en,"CA, US",2014-08-05,108,The Calling,"Darius Films, Manis Film, Breaking Ball Films, Stage 6 Films",2014,>2010
"Drama, Horror, Mystery",en,US,2017-06-09,91,It Comes at Night,"A24, Animal Kingdom",2017,>2010
"Action, Thriller",en,"CA, RO, US, GB",2020-10-01,97,The Doorman,"Double Dutch International, Smash Media, Anamorphic Media, CR8IV DNA, Gora Films, Immediate Media Partners, Infinity Hill, Project Z Entertainment, Lionsgate",2020,>2010
Comedy,it,IT,2016-10-19,90,I babysitter,"Medusa Film, Colorado Film",2016,>2010
"Drama, Action, Thriller",en,"HU, NL, CH, GB",2021-08-11,120,SAS: Red Notice,"Ingenious Media, Sky Movies, Creativity Capital, Parabolic Pictures, Altitude Film Entertainment, The Electric Shadow Company, Lipsync Productions, J3 Film Finance, Periwinkle Pictures, Silver Reel",2021,>2010
"TV Movie, Fantasy, Comedy, Romance, Family",en,US,2010-12-12,85,Christmas Cupid,,2010,>2010
"Drama, History",en,"IT, US",2022-11-18,97,Lamborghini: The Man Behind the Legend,"Iervolino & Lady Bacardi Entertainment, Grindstone Entertainment Group, Lambofilm, Zian Films",2022,>2010
"Comedy, Crime",en,US,2013-02-07,111,Identity Thief,"Stuber Productions, Aggregate Films, DumbDumb, Universal Pictures",2013,>2010
"Drama, Thriller",en,US,2011-09-16,110,Straw Dogs,"Screen Gems, Battleplan Productions",2011,>2010
"Animation, Family, Comedy, Science Fiction, Adventure",en,"ES, GB, US",2009-11-19,91,Planet 51,"Ilion Animation Studios, Hand Made Films",2009,2000-2010
"Thriller, Horror",en,CA,2018-01-04,99,What Keeps You Alive,Digital Interference Productions,2018,>2010
"Drama, Romance, Western",en,US,2000-12-11,117,All the Pretty Horses,"Miramax, Columbia Pictures",2000,2000-2010
"Science Fiction, Action",en,"CA, US",2014-01-30,118,RoboCop,"Columbia Pictures, Strike Entertainment, Metro-Goldwyn-Mayer, Dynamic Effects Canada",2014,>2010
"Drama, Comedy",en,US,2006-10-27,116,Running with Scissors,"TriStar Pictures, Plan B Entertainment",2006,2000-2010
"Comedy, Action, Romance",en,US,2010-03-16,110,The Bounty Hunter,Original Film,2010,>2010
"Adventure, Drama, Action",en,"ES, GB, US",2014-12-03,150,Exodus: Gods and Kings,"Volcano Films, Chernin Entertainment, Scott Free Productions, Babieka Films",2014,>2010
"Comedy, Crime",de,DE,2016-12-25,96,Four Against the Bank,"Radiant Productions, Hellinger / Doll Filmproduktion, Warner Bros. Film Productions Germany",2016,>2010
"Thriller, Drama",en,US,2017-10-12,97,6 Below: Miracle on the Mountain,"Tucker Tooley Entertainment, Dune Entertainment, Sonar Entertainment, Stormchaser Films, October Sky Films",2017,>2010
"Comedy, Family",en,US,1991-07-03,90,Problem Child 2,"Imagine Entertainment, Universal Pictures",1991,1990-2000
"Drama, Music",en,US,1998-08-28,106,54,"Dollface, Redeemable Features, FilmColony, Miramax",1998,1990-2000
Comedy,en,US,2013-09-07,90,Fading Gigolo,Antidote Films,2013,>2010
