genres,original_language,production_countries,release_date,runtime,title,production_companies_name,year,période
Comedy,es,MX,2018-06-08,66,Franco Escamilla: por la anécdota,,2018,>2010
"Crime, Drama",en,,1992-10-17,583,The Godfather Trilogy: 1901-1980,,1992,1990-2000
"Drama, Crime",en,US,1972-03-14,175,The Godfather,"Paramount, Alfran Productions",1972,1970-1990
"Drama, Crime",en,US,1994-09-23,142,The Shawshank Redemption,Castle Rock Entertainment,1994,1990-2000
"Drama, Fantasy",es,MX,1960-05-09,91,Macario,Clasa Films Mundiales,1960,1950-1970
"Comedy, Fantasy",es,,2022-09-14,115,Cuando Sea Joven,Lionsgate,2022,>2010
Comedy,es,,2019-04-17,54,Franco Escamilla: bienvenido al mundo,,2019,>2010
"Drama, Crime",en,US,1974-12-20,202,The Godfather Part II,"Paramount, The Coppola Company",1974,1970-1990
"Animation, Comedy, Romance",ja,JP,2022-05-20,136,The Quintessential Quintuplets Movie,"DAX Production, Pony Canyon, Nichion, Bibury Animation Studios, Nippon BS Broadcasting, GYAO, Kodansha, Good Smile Film, Bushiroad, MAGNET",2022,>2010
"Drama, History, War",en,US,1993-12-15,195,Schindler's List,Amblin Entertainment,1993,1990-2000
"Comedy, Drama, Romance",hi,IN,1995-10-19,190,Dilwale Dulhania Le Jayenge,Yash Raj Films,1995,1990-2000
"Animation, Family, Fantasy",ja,JP,2001-07-20,125,Spirited Away,Studio Ghibli,2001,2000-2010
"Animation, Comedy, Romance",ja,JP,2022-06-10,73,Teasing Master Takagi-san: The Movie,"Shin-Ei Animation, TOHO, Asmik Ace, Shogakukan, Shogakukan-Shueisha Productions",2022,>2010
Drama,en,US,1957-04-10,97,12 Angry Men,"United Artists, Orion-Nova Productions",1957,1950-1970
"Romance, Animation, Drama",ja,JP,2016-08-26,106,Your Name.,"CoMix Wave Films, TOHO, KADOKAWA, East Japan Marketing & Communications, AMUSE, voque ting, Lawson Entertainment, 4Kids Entertainment",2016,>2010
"Music, Drama, Romance",en,GB,2011-09-27,160,The Phantom of the Opera at the Royal Albert Hall,"Universal Pictures, The Really Useful Group",2011,>2010
"Comedy, Thriller, Drama",ko,KR,2019-05-30,133,Parasite,Barunson E&A,2019,>2010
"Drama, Action, Crime, Thriller",en,"GB, US",2008-07-14,152,The Dark Knight,"DC Comics, Legendary Pictures, Syncopy, Isobel Griffiths, Warner Bros. Pictures",2008,2000-2010
"Fantasy, Drama, Crime",en,US,1999-12-10,189,The Green Mile,"Castle Rock Entertainment, Darkwoods Productions, Warner Bros. Pictures",1999,1990-2000
"Romance, Drama",ja,JP,2020-10-23,123,Your Eyes Tell,"Dragonfly Entertainment, AMUSE, Lawson Entertainment, GAGA Corporation",2020,>2010
"Thriller, Crime",en,US,1994-09-10,154,Pulp Fiction,"Miramax, A Band Apart, Jersey Films",1994,1990-2000
"Comedy, Drama, Romance",en,US,1994-06-23,142,Forrest Gump,"Paramount, The Steve Tisch Company, Wendy Finerman Productions",1994,1990-2000
"Adventure, Fantasy, Action",en,"NZ, US",2003-12-01,201,The Lord of the Rings: The Return of the King,"New Line Cinema, WingNut Films, The Saul Zaentz Company",2003,2000-2010
"Animation, Family, Adventure, Fantasy",en,"GB, US",2022-12-25,34,"The Boy, the Mole, the Fox and the Horse","NoneMore Productions, Bad Robot, BBC",2022,>2010
"Romance, Animation",ja,JP,2016-02-20,61,Dou kyu sei – Classmates,"A-1 Pictures, Aniplex",2016,>2010
"Drama, Crime",en,US,1990-09-12,145,GoodFellas,Winkler Films,1990,1990-2000
"Action, Adventure, Animation, Drama",en,US,2019-11-21,85,Primal: Tales of Savagery,"Cartoon Network Studios, Williams Street",2019,>2010
"Action, Drama",ja,JP,1954-04-26,207,Seven Samurai,TOHO,1954,1950-1970
"Drama, Romance",it,"FR, IT",1988-11-17,124,Cinema Paradiso,"Les Films Ariane, Cristaldifilm, RAI, TF1 Films Production, Forum Picture",1988,1970-1990
"Comedy, Drama",it,IT,1997-12-20,116,Life Is Beautiful,Melampo Cinematografica,1997,1990-2000
"Animation, Drama, War",ja,JP,1988-04-16,89,Grave of the Fireflies,Studio Ghibli,1988,1970-1990
"Drama, Crime",en,"US, IT",1984-05-23,229,Once Upon a Time in America,"The Ladd Company, Embassy International Pictures, Rafran Cinematografica, Warner Bros. Pictures, PSO",1984,1970-1990
"Horror, Drama, Thriller",en,US,1960-06-22,109,Psycho,Shamley Productions,1960,1950-1970
"Drama, Thriller, Comedy",en,US,1999-10-15,139,Fight Club,"Regency Enterprises, Fox 2000 Pictures, Taurus Film, Atman Entertainment, Knickerbocker Films, The Linson Company, 20th Century Fox",1999,1990-2000
"Family, Drama",en,US,2020-10-19,87,Lucy Shimmers And The Prince Of Peace,"Rob Diamond Films, Future Movie Productions",2020,>2010
"Family, Drama",es,MX,2021-06-17,88,Impossible Things,"Videocine S.A. de C.V., Agencia SHA, Alebrije Producciones",2021,>2010
"Action, Drama",ru,RU,2020-12-24,120,Fire,"Studio Trite, Cinema Fund, Russia-1, Central Partnership, VGTRK",2020,>2010
"Drama, Crime",pt,"BR, FR",2002-08-30,130,City of God,"O2 Filmes, Videofilmes, Wild Bunch, Hank Levine Film, Globo Filmes, Lumière, Miramax",2002,2000-2010
Drama,en,US,1975-11-19,133,One Flew Over the Cuckoo's Nest,Fantasy Films,1975,1970-1990
"Romance, Comedy",en,US,2020-11-19,105,Gabriel's Inferno: Part III,PassionFlix,2020,>2010
"Animation, Fantasy, Action",zh,CN,2019-08-27,102,The Legend of Hei,"MTJJ, Beijing Guangying Gongchang Wenhua Chuanbo, Dream Castle, Heyi Capital, Beijing Hanmu Chunhua Animation Technology Co., Ltd., Beijing Jiyin Yinghua",2019,>2010
"Action, Drama, History",ja,JP,1962-09-15,135,Harakiri,Shochiku,1962,1950-1970
"Action, Adventure, Animation, Science Fiction",en,US,2018-12-14,117,Spider-Man: Into the Spider-Verse,"Columbia Pictures, Lord Miller Productions, Pascal Pictures, Sony Pictures Animation, Avi Arad Productions",2018,>2010
"Fantasy, Animation, Adventure",ja,"JP, US",2004-09-09,119,Howl's Moving Castle,"Studio Ghibli, dentsu Music And Entertainment, Mitsubishi, Nippon Television Network Corporation, Tohokushinsha Film Corporation, Tokuma Shoten, d-rights, Walt Disney Pictures",2004,2000-2010
"Crime, Drama, Mystery, TV Movie",en,US,1990-04-08,116,Twin Peaks,"Lynch Entertainment, Lynch/Frost Productions, Spelling Entertainment, Worldvision",1990,1990-2000
"Animation, Drama",ja,JP,2016-09-17,130,A Silent Voice: The Movie,"Kyoto Animation, ABC Animation, Kodansha, Pony Canyon, Quaras, Shochiku",2016,>2010
"Animation, Science Fiction, Action",ja,JP,1997-07-19,87,Neon Genesis Evangelion: The End of Evangelion,"GAINAX, movic, Star Child Recording, TV Tokyo, Production I.G, Kadokawa Shoten, Toei Company, SEGA",1997,1990-2000
"Comedy, Drama, Fantasy",pt,BR,2000-09-15,104,A Dog's Will,"Lereby Produções, Globo Filmes",2000,2000-2010
"Animation, Drama, Romance",ja,JP,2020-12-25,98,"Josee, the Tiger and the Fish","BONES, KADOKAWA, Shochiku, East Japan Marketing & Communications, ""TOYS FACTORY"", KDDI, Movie Walker, TBS Radio",2020,>2010
"Adventure, Drama, Science Fiction",en,"GB, US",2014-11-05,169,Interstellar,"Legendary Pictures, Syncopy, Lynda Obst Productions",2014,>2010
"Adventure, Fantasy, Action",en,"NZ, US",2001-12-18,179,The Lord of the Rings: The Fellowship of the Ring,"New Line Cinema, WingNut Films, The Saul Zaentz Company",2001,2000-2010
"Adventure, Action, Science Fiction",en,US,1980-05-20,124,The Empire Strikes Back,Lucasfilm Ltd.,1980,1970-1990
"Romance, Animation, Fantasy",ja,JP,2011-09-17,45,Hotarubi no Mori e,"""Brains Base""",2011,>2010
Drama,fr,FR,2023-03-29,115,All Your Faces,"Chi-Fou-Mi Productions, Trésor Films, France 3 Cinéma",2023,>2010
"Drama, War",en,"FR, DE, PL, GB",2002-09-17,150,The Pianist,"Canal+ Polska, Bac Films, Heritage Films, Studio Babelsberg, Agencja Produkcji Filmowej, FFF Bayern, Filmboard Berlin-Brandenburg (FBB), R.P. Productions, StudioCanal, Canal+, TVP, Runteam, FFA",2002,2000-2010
"Adventure, Fantasy, Action",en,"NZ, US",2002-12-18,179,The Lord of the Rings: The Two Towers,"New Line Cinema, WingNut Films, The Saul Zaentz Company",2002,2000-2010
"Drama, Music",en,US,2014-10-10,107,Whiplash,"Bold Films, Blumhouse Productions, Right of Way Films",2014,>2010
"Crime, Mystery, Thriller",en,US,1995-09-22,127,Se7en,"New Line Cinema, Juno Pix, Cecchi Gori Pictures",1995,1990-2000
"Action, Science Fiction, Adventure",en,"GB, US",2010-07-15,148,Inception,"Legendary Pictures, Syncopy, Warner Bros. Pictures",2010,>2010
"Thriller, Mystery",en,US,1954-08-01,112,Rear Window,"Alfred J. Hitchcock Productions, Paramount",1954,1950-1970
Drama,en,US,1950-08-10,110,Sunset Boulevard,Paramount,1950,1950-1970
Drama,en,US,1998-07-01,119,American History X,"New Line Cinema, Savoy Pictures, The Turman-Morrissey Company",1998,1990-2000
Drama,ko,KR,2013-10-02,122,Hope,"Lotte Entertainment, Film Momentum, Michigan Venture Capital",2013,>2010
"Romance, Drama",ko,KR,2022-10-06,119,20th Century Girl,Yong Film,2022,>2010
Drama,ja,JP,1952-10-09,143,Ikiru,TOHO,1952,1950-1970
"Crime, Drama, Thriller",en,US,1991-02-14,119,The Silence of the Lambs,"Orion Pictures, Strong Heart/Demme Production",1991,1990-2000
"Adventure, Fantasy, Animation",ja,JP,1997-07-12,134,Princess Mononoke,"Studio Ghibli, Nibariki, dentsu Music And Entertainment, TNDG, Tokuma Shoten, Nippon Television Network Corporation, dentsu",1997,1990-2000
"War, Drama, History",ja,JP,1961-01-28,190,The Human Condition III: A Soldier's Prayer,"Ninjin Club, Shochiku",1961,1950-1970
"Comedy, Romance, Drama",en,US,1931-02-01,87,City Lights,"Charles Chaplin Productions, United Artists",1931,<1950
"Animation, Action, Adventure, Fantasy",ja,JP,2018-01-13,120,Attack on Titan: The Roar of Awakening,WIT STUDIO,2018,>2010
"Crime, Drama, Mystery, Thriller",ja,JP,1963-03-01,142,High and Low,"TOHO, Kurosawa Production",1963,1950-1970
"Animation, Fantasy, Romance, Drama",ja,JP,2020-09-18,140,Violet Evergarden: The Movie,"Kyoto Animation, ABC Animation, Pony Canyon, Rakuonsha, Bandai Namco Arts, Lantis, Heart Company, Miracle Bus",2020,>2010
"Animation, Action, Fantasy, Adventure",ja,JP,2015-06-27,120,Attack on Titan: Wings of Freedom,"Pony Canyon, WIT STUDIO, MBS, Production I.G, Kodansha",2015,>2010
"Drama, History",en,US,1979-10-19,117,Jesus,Inspirational Films,1979,1970-1990
"Drama, Comedy",es,"CO, EC, US",2019-11-01,94,Dedicated to my ex,"Touché Films, Dynamo",2019,>2010
Drama,en,US,1989-06-02,128,Dead Poets Society,"Touchstone Pictures, Silver Screen Partners IV, A Steven Haft Production, Witt/Thomas Productions",1989,1970-1990
"Adventure, Comedy, Science Fiction",en,US,1985-07-03,116,Back to the Future,"Universal Pictures, Amblin Entertainment",1985,1970-1990
"Comedy, Drama",en,US,1936-02-05,87,Modern Times,"Charles Chaplin Productions, United Artists",1936,<1950
"Romance, Drama",en,US,2019-03-14,116,Five Feet Apart,"Wayfarer Entertainment, CBS Films",2019,>2010
"Comedy, Drama, Romance",en,US,1940-01-12,99,The Shop Around the Corner,Metro-Goldwyn-Mayer,1940,<1950
"Comedy, Family, Romance",es,MX,2022-02-09,99,What a Father!,Spectrum Films,2022,>2010
"TV Movie, Animation, Science Fiction, Action, Adventure, Comedy, Drama, Fantasy, Music",en,US,2019-09-02,82,Steven Universe: The Movie,"Cartoon Network Studios, Cartoon Network Studios",2019,>2010
"Crime, Drama, Action",en,"US, FR",1994-09-14,111,Léon: The Professional,"Gaumont, Les Films du Dauphin",1994,1990-2000
"Animation, Action, Science Fiction, Drama",ja,JP,2021-03-08,155,Evangelion: 3.0+1.0 Thrice Upon a Time,khara,2021,>2010
"Science Fiction, Adventure, Action",en,US,2023-05-03,150,Guardians of the Galaxy Volume 3,"Marvel Studios, Kevin Feige Productions",2023,>2010
"Crime, Drama, Romance",zh,TW,1991-07-27,237,A Brighter Summer Day,Yang & His Gang Filmmakers,1991,1990-2000
"Music, Drama, Romance",en,US,2020-10-09,121,Clouds,"Warner Bros. Pictures, Mad Chance",2020,>2010
"Comedy, War",en,US,1940-10-15,125,The Great Dictator,"Roy Export Company Establishment, United Artists",1940,<1950
"Romance, Drama, Fantasy",ko,KR,2018-03-14,132,Be with You,"Lotte Entertainment, Movierock, Studio By The Library, Green Tree Pictures",2018,>2010
"Drama, Music",en,US,2021-11-12,15,All Too Well: The Short Film,"Taylor Swift Productions, Saul Projects",2021,>2010
"Drama, War",ru,SU,1985-07-09,142,Come and See,"Belarusfilm, Mosfilm",1985,1970-1990
"Drama, Western",it,"IT, US",1968-12-21,166,Once Upon a Time in the West,"Paramount, Rafran Cinematografica, San Marco",1968,1950-1970
"Animation, Family, Adventure, Fantasy",en,"CN, FR, IE, LU, US",2020-10-26,103,Wolfwalkers,"Cartoon Saloon, Melusine Productions, Value&Power Culture Communications, Film Fund Luxembourg, Screen Ireland, Broadcasting Authority of Ireland, Haut et Court, Canal+, RTÉ, OCS, Pôle Image Magelis, Folivari, GKIDS",2020,>2010
"Drama, Romance",en,US,2020-11-27,107,Life in a Year,Overbrook Entertainment,2020,>2010
"Drama, Thriller",ja,JP,1964-02-15,147,Woman in the Dunes,"Teshigahara Productions, TOHO",1964,1950-1970
"Animation, Family, Fantasy, Adventure, Comedy, Drama",en,US,2022-12-07,103,Puss in Boots: The Last Wish,"DreamWorks Animation, Universal Pictures",2022,>2010
"Animation, Fantasy, Action, Adventure",zh,CN,2021-07-23,131,Green Snake,"Light Chaser Animation Studios, Alibaba Pictures Group",2021,>2010
"Action, Drama",en,US,2022-05-24,131,Top Gun: Maverick,"Skydance Media, Don Simpson/Jerry Bruckheimer Films, Paramount",2022,>2010
"Crime, Drama, Thriller, History",fr,"FR, IT",1960-03-18,132,Le Trou,"Titanus, Filmsonor, Play Art",1960,1950-1970
"Animation, Action, Comedy, Mystery, Crime, Fantasy",ja,JP,2018-03-03,90,Bungo Stray Dogs: Dead Apple,"BONES, Lantis, KADOKAWA, Bandai Namco Arts, THE KLOCKWORX, Kadokawa Media House, Bandai Namco Live Creative, movic, Sony Music Communications, Glovision, WOWOW",2018,>2010
"Animation, Thriller",ja,JP,1997-07-25,81,Perfect Blue,"Madhouse, Rex Entertainment, Oniro",1997,1990-2000
"Drama, War",en,US,1979-08-15,147,Apocalypse Now,"United Artists, American Zoetrope",1979,1970-1990
"Drama, Music, Romance",it,IT,1998-10-28,170,The Legend of 1900,"Medusa Film, Sciarlò",1998,1990-2000
Drama,tr,TR,2019-10-10,132,Miracle in Cell No. 7,"Lanistar Media, Motion Content Group, CJ Entertainment Turkey",2019,>2010
"Animation, Action, Science Fiction",en,US,2020-05-05,90,Justice League Dark: Apokolips War,"Warner Bros. Animation, DC Entertainment",2020,>2010
"Drama, War",en,US,1957-10-25,88,Paths of Glory,"United Artists, Bryna Productions",1957,1950-1970
"Animation, Drama, Music, Romance",ja,JP,2020-08-22,60,Given,Lerche,2020,>2010
"Drama, Comedy",fr,FR,2011-11-02,113,The Intouchables,"Gaumont, CinéCinéma, Quad Productions, Chaocorp, Ten Films, TF1, Canal+, TF1 Films Production",2011,>2010
Drama,fr,CA,2014-09-19,138,Mommy,"Metafilms, Sons of Manual",2014,>2010
"Drama, Thriller, Mystery, Action",ko,KR,2003-11-21,120,Oldboy,"Show East, CJ Entertainment, Egg Film, Cineclick Asia",2003,2000-2010
"Family, Romance",ru,"RU, JP",2021-03-18,110,A Dog Named Palma,"Mars Media Entertainment, Okko Studios, Russia-1, AMedia",2021,>2010
"Adventure, Science Fiction, Action",en,US,2019-04-24,181,Avengers: Endgame,Marvel Studios,2019,>2010
"Action, Animation",en,US,2013-10-08,148,Batman: The Dark Knight Returns,"Warner Bros. Animation, Warner Premiere, DC Entertainment, DC Comics",2013,>2010
"Adventure, Action, Science Fiction",en,US,2018-04-25,149,Avengers: Infinity War,Marvel Studios,2018,>2010
"Animation, Family, Adventure, Comedy, Fantasy",en,ES,2019-11-08,96,Klaus,"Atresmedia, The SPA Studios",2019,>2010
"Drama, History",fr,"BE, FR",2021-11-22,140,"Simone, The Journey of the Century","Marvelous Productions, SCOPE Pictures, France 2 Cinéma, France 3 Cinéma",2021,>2010
Drama,zh,"CN, HK",2019-10-25,135,Better Days,"Shooting Pictures, China Wit Media, Tianijn Xiron Entertainment, We Pictures, Goodfellas Media, He Nan Dian Ying Dian Shi Zhi Zuo Ji Tuan, Fat Kids Production",2019,>2010
"Family, Animation, Drama",en,US,1994-06-23,89,The Lion King,"Walt Disney Pictures, Walt Disney Feature Animation",1994,1990-2000
"Drama, Family, Fantasy",en,US,1946-12-20,130,It's a Wonderful Life,Liberty Films,1946,<1950
"Action, Animation, Science Fiction",en,US,2013-10-04,66,Transformers: Prime Beast Hunters: Predacons Rising,Hasbro Studios,2013,>2010
"Animation, Action, Adventure, Fantasy, Thriller",ja,JP,2020-10-16,117,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"ufotable, Aniplex, Shueisha, STUDIO MAUSU, TOHO",2020,>2010
Drama,sv,SE,1966-10-18,83,Persona,SF Studios,1966,1950-1970
"Drama, Comedy",it,IT,1974-12-21,124,We All Loved Each Other So Much,Deantir,1974,1970-1990
"Thriller, Drama, Romance",ko,KR,2016-06-01,145,The Handmaiden,"Moho Film, Yong Film, CJ Entertainment",2016,>2010
"Animation, Family, Drama, Fantasy, Adventure",ja,JP,2012-07-21,117,Wolf Children,"Studio Chizu, Madhouse, Nippon Television Network Corporation, Kadokawa Shoten, VAP, D.N. Dream Partners, Yomiuri Telecasting Corporation, TOHO",2012,>2010
"Drama, Comedy",en,US,2018-11-16,130,Green Book,"Participant, DreamWorks Pictures, Cinetic Media",2018,>2010
"Animation, Drama, Romance",ja,JP,2018-09-01,108,I Want to Eat Your Pancreas,"ABC Animation, Aniplex, East Japan Marketing & Communications, Futabasha, Studio VOLN, Tohan, The Asahi Shimbun, HALF H・P STUDIO",2018,>2010
"Animation, Comedy, Fantasy, Adventure, Family",es,MX,2021-02-15,90,Legend Quest: The Origin,Ánima Estudios,2021,>2010
"History, Drama",en,US,2020-07-03,160,Hamilton,"RadicalMedia, 5000 Broadway Productions, Nevis Productions, Old 320 Sycamore, Walt Disney Pictures",2020,>2010
"Drama, Comedy",it,IT,1962-12-05,105,Il Sorpasso,"Fair Film, Incei Film, Sancro Film",1962,1950-1970
Drama,hu,"DE, HU, CH",1994-02-08,432,Satantango,"Von Vietinghoff Filmproduktion (VVF), Vega Film, Mozgókép Innovációs Társulás és Alapítvány, Magyar Televízió, TSR",1994,1990-2000
"Animation, Fantasy, Drama, Music",en,US,2022-11-09,117,Guillermo del Toro's Pinocchio,"The Jim Henson Company, ShadowMachine, Double Dare You Productions",2022,>2010
"Family, Animation, Comedy, Mystery, Adventure",en,US,1972-03-19,78,Scooby-Doo Meets Batman,Hanna-Barbera Productions,1972,1970-1990
"Family, Animation, Fantasy, Music, Comedy, Adventure",en,"MX, US",2017-10-27,105,Coco,"Pixar, Walt Disney Pictures",2017,>2010
"Drama, Mystery, Crime",en,US,1957-12-17,116,Witness for the Prosecution,"Edward Small Productions, United Artists",1957,1950-1970
"Drama, Romance, Comedy",en,US,2019-08-08,109,The Art of Racing in the Rain,"Original Film, 20th Century Fox, Shifting Gears Productions, Fox 2000 Pictures, Starbucks Entertainment",2019,>2010
Drama,ja,JP,1967-05-27,121,Samurai Rebellion,"TOHO, Mifune Productions",1967,1950-1970
"Comedy, Drama, Romance",en,US,1960-06-21,125,The Apartment,The Mirisch Company,1960,1950-1970
"War, Drama, History",ja,JP,1959-11-20,178,The Human Condition II: Road to Eternity,Shochiku,1959,1950-1970
"Horror, Thriller",en,US,1980-05-23,144,The Shining,"Hawk Films, Peregrine, Producers Circle",1980,1970-1990
Drama,ja,JP,1953-11-03,137,Tokyo Story,Shochiku,1953,1950-1970
"Science Fiction, Drama",en,"GB, US",1971-12-19,137,A Clockwork Orange,"Warner Bros. Pictures, Hawk Films",1971,1970-1990
"Fantasy, Drama",sv,SE,1957-02-16,96,The Seventh Seal,SF Studios,1957,1950-1970
"Drama, Thriller, War",en,"FR, DE, US",2009-08-19,153,Inglourious Basterds,"The Weinstein Company, Universal Pictures, A Band Apart, Zehnte Babelsberg Film, Visiona Romantica, Peninsula Films",2009,2000-2010
"Drama, Fantasy, Animation",ja,JP,2019-09-06,91,Violet Evergarden: Eternity and the Auto Memory Doll,"Kyoto Animation, Pony Canyon, ABC Animation, Bandai Namco Arts, Rakuonsha",2019,>2010
"Animation, Action, Fantasy, Adventure",ja,JP,2019-12-20,104,My Hero Academia: Heroes Rising,"BONES, dentsu, movic, Nippon Television Network Corporation, Shueisha, Sony Music Entertainment (Japan), Yomiuri Telecasting Corporation, TOHO, TOHO MUSIC",2019,>2010
"Adventure, Action, Science Fiction",en,US,1977-05-25,121,Star Wars,"Lucasfilm Ltd., 20th Century Fox",1977,1970-1990
"Drama, History, War",en,US,1998-07-24,169,Saving Private Ryan,"Paramount, Amblin Entertainment, Mutual Film Company, DreamWorks Pictures, The Mark Gordon Company",1998,1990-2000
"Action, Drama, Adventure",en,"GB, US",2000-05-04,155,Gladiator,"Universal Pictures, Scott Free Productions, Red Wagon Entertainment, Mill Film, C & L, Dawliz, DreamWorks Pictures",2000,2000-2010
"Animation, TV Movie, Fantasy, Action",fr,"CA, CN, FR, JP, US",2020-12-18,62,"Miraculous World: New York, United HeroeZ","Zagtoon, Method Animation, Toei Animation, SAMG Animation, Norman Studio Works, The Walt Disney Company France, TF1, Mediawan, Télé-Québec, Fantawild Animation, Gloob",2020,>2010
"Comedy, Drama",en,US,1921-01-21,68,The Kid,Charles Chaplin Productions,1921,<1950
"Comedy, Animation, Adventure, Fantasy, Romance, Action",ja,JP,2000-07-15,80,Cardcaptor Sakura: The Sealed Card,"Bandai Visual, Amber Film Works, Shelty, Shochiku, Madhouse, Kodansha",2000,2000-2010
"Fantasy, Action, Thriller, Adventure",ko,"HK, KR",2018-08-01,141,Along with the Gods: The Last 49 Days,"Lotte Entertainment, Dexter Studios, Realies Pictures, Union Investment Partners, Korean Film Council, Art Service, Alpha Pictures",2018,>2010
"Science Fiction, Drama",ru,SU,1979-05-25,162,Stalker,Mosfilm,1979,1970-1990
"Drama, Mystery, Science Fiction",en,"GB, US",2006-10-19,130,The Prestige,"Warner Bros. Pictures, Touchstone Pictures, Newmarket Films, Syncopy",2006,2000-2010
"Action, Comedy",ro,,2019-12-27,96,5Gang: A Different Kind of Christmas,,2019,>2010
"Animation, Comedy, Family, Adventure",en,US,2019-02-22,8,Bilby,DreamWorks Animation,2019,>2010
Drama,it,IT,1948-11-24,89,Bicycle Thieves,Produzioni De Sica,1948,<1950
Drama,en,"FR, GB, US",2020-12-23,96,The Father,"Trademark Films, F Comme Film, Ciné-@, Embankment Films, Film4 Productions, Canal+, Ciné+, Orange Studio, Les Films du Cru, AG Studios NYC, Simon Friend Entertainment, Viewfinder, CAA Media Finance, Sony Pictures Classics",2020,>2010
"Animation, Comedy, Romance, Drama, Fantasy",ja,JP,2019-06-15,90,Rascal Does Not Dream of a Dreaming Girl,"CloverWorks, Aniplex, ABC Animation, KADOKAWA, Tokyo MX, Nagoya Broadcasting Network, Nippon BS Broadcasting, Hakuhodo DY Music & Pictures, HALF H・P STUDIO",2019,>2010
"Action, Science Fiction",en,US,1999-03-30,136,The Matrix,"Village Roadshow Pictures, Groucho II Film Partnership, Silver Pictures, Warner Bros. Pictures",1999,1990-2000
"Fantasy, Drama",it,"IT, FR",1963-02-14,139,8½,"Cineriz, Francinex",1963,1950-1970
"Animation, Family, Comedy, Fantasy, Drama",en,US,2020-12-25,101,Soul,"Walt Disney Pictures, Pixar",2020,>2010
"Action, Adventure, Fantasy, Science Fiction",en,US,2021-03-18,242,Zack Snyder's Justice League,"Warner Bros. Pictures, The Stone Quarry, Atlas Entertainment, Access Entertainment, Dune Entertainment, DC Films",2021,>2010
Comedy,pt,BR,2019-12-26,111,My Mom is a Character 3,"Migdal Filmes, Globo Filmes, Universal Pictures International (UPI), Paramount Pictures Brasil, Brazil Production Services",2019,>2010
"Animation, Action, Fantasy",ja,JP,2021-12-24,105,Jujutsu Kaisen 0,"MAPPA, Shueisha, Sumzap, MBS, dugout, TOHO",2021,>2010
Drama,en,US,2011-08-09,146,The Help,"1492 Pictures, Harbinger Pictures",2011,>2010
"Romance, Drama",en,US,2022-07-29,122,Purple Hearts,"Alloy Entertainment, Embankment Films, Gidden Media",2022,>2010
"Drama, Thriller, Mystery",en,US,2010-02-14,138,Shutter Island,"Phoenix Pictures, Paramount, Appian Way, Sikelia Productions",2010,>2010
"Drama, Crime, Thriller",en,US,1995-07-19,106,The Usual Suspects,"Bad Hat Harry Productions, Blue Parrot Productions",1995,1990-2000
"Science Fiction, Adventure",en,GB,2013-11-23,77,Doctor Who: The Day of the Doctor,BBC Wales,2013,>2010
"Drama, Romance",bn,IN,1959-05-01,105,Apur Sansar,Satyajit Ray Productions,1959,1950-1970
"Mystery, Romance, Thriller",en,US,1958-05-28,128,Vertigo,"Paramount, Alfred J. Hitchcock Productions",1958,1950-1970
"Drama, History, War",en,"AU, US",2016-10-07,139,Hacksaw Ridge,"Vendian Entertainment, Summit Entertainment, Cross Creek Pictures, IM Global, Screen Australia, Screen NSW, Permut Presentations, Pandemonium, Demarest Films, Lionsgate",2016,>2010
"Animation, Fantasy, Romance, Drama",ja,JP,2018-02-24,115,Maquia: When the Promised Flower Blooms,"P.A.WORKS, Bandai Visual, Hakuhodo DY Music & Pictures, Lantis, Rakuonsha, Cygames",2018,>2010
"Mystery, Thriller",en,US,2000-10-11,113,Memento,"Summit Entertainment, Newmarket Capital Group, Team Todd, I Remember Productions",2000,2000-2010
"Animation, Action, Fantasy",en,US,2020-04-12,80,Mortal Kombat Legends: Scorpion's Revenge,Warner Bros. Animation,2020,>2010
"Drama, History",en,"DE, IT, US",1995-04-16,178,Joseph,"Turner Pictures, Beta Film, Quinta Communications, Lube Productions, Lux Vide",1995,1990-2000
"Horror, Animation, Fantasy",en,,2012-10-23,7,Abraham Lincoln Vampire Hunter: The Great Calamity,,2012,>2010
"Drama, Romance",fr,FR,2019-06-17,120,Portrait of a Lady on Fire,"Lilies Films, ARTE France Cinéma, Hold Up Films",2019,>2010
"Drama, Thriller",it,IT,1970-10-16,111,Investigation of a Citizen Above Suspicion,Vera Film,1970,1970-1990
"Drama, Romance",fr,FR,1945-03-15,191,Children of Paradise,Société Nouvelle Pathé Cinéma,1945,<1950
"Drama, Romance",sv,SE,1974-09-15,169,Scenes from a Marriage,Cinematograph AB,1974,1970-1990
"Comedy, Drama, Music",es,"MX, US",2019-12-24,112,Out of the Clear Blue Sky,"Esparza Caldera, La Victoria Films",2019,>2010
"Crime, Drama",en,US,2018-10-19,133,The Hate U Give,Temple Hill Entertainment,2018,>2010
Drama,ja,JP,1954-03-31,124,Sansho the Bailiff,Daiei Film,1954,1950-1970
"Animation, Adventure, Family, Comedy",en,US,2018-08-28,77,Scooby-Doo! and the Gourmet Ghost,Warner Bros. Animation,2018,>2010
Drama,ar,"CY, FR, LB, QA, GB",2018-09-20,126,Capernaum,"Boo Pictures, Mooz Films, Cedrus Invest Bank, Clandestino Filmes, DFI, KNM Films, Les Films des Tournelles, Louverture Films, Open City Films, Sunnyland Film, The Bridge Production",2018,>2010
